iter	Passed	Remaining
1123	2030	16908
1124	2031	16902
1125	2033	16897
1126	2034	16890
1127	2035	16885
1128	2037	16879
1129	2038	16876
1130	2040	16870
1131	2041	16865
1132	2043	16862
1133	2044	16857
1134	2045	16851
1135	2047	16846
1136	2048	16841
1137	2050	16838
1138	2051	16834
1139	2053	16829
1140	2054	16826
1141	2056	16822
1142	2058	16821
1143	2060	16819
1144	2062	16820
1145	2063	16817
1146	2065	16813
1147	2066	16809
1148	2068	16804
1149	2069	16800
1150	2071	16798
1151	2073	16796
1152	2075	16792
1153	2076	16787
1154	2078	16784
1155	2080	16787
1156	2082	16785
1157	2084	16783
1158	2086	16785
1159	2088	16784
1160	2089	16781
1161	2091	16778
1162	2093	16775
1163	2094	16772
1164	2096	16769
1165	2098	16766
1166	2099	16763
1167	2101	16760
1168	2103	16763
1169	2105	16759
1170	2106	16756
1171	2109	16761
1172	2111	16758
1173	2112	16753
1174	2114	16750
1175	2115	16745
1176	2117	16740
1177	2119	16742
1178	2120	16739
1179	2122	16736
1180	2124	16732
1181	2125	16726
1182	2126	16722
1183	2128	16718
1184	2129	16714
1185	2131	16709
1186	2132	16705
1187	2135	16707
1188	2136	16704
1189	2138	16702
1190	2140	16700
1191	2141	16694
1192	2143	16689
1193	2144	16684
1194	2146	16682
1195	2147	16679
1196	2149	16677
1197	2150	16672
1198	2153	16674
1199	2154	16672
1200	2156	16669
1201	2157	16663
1202	2159	16657
1203	2160	16653
1204	2162	16652
1205	2164	16649
1206	2165	16646
1207	2167	16644
1208	2169	16642
1209	2170	16637
1210	2172	16632
1211	2173	16628
1212	2175	16628
1213	2177	16629
1214	2180	16633
1215	2182	16638
1216	2184	16634
1217	2186	16633
1218	2187	16629
1219	2189	16627
1220	2191	16623
1221	2192	16618
1222	2195	16621
1223	2197	16623
1224	2199	16622
1225	2200	16620
1226	2202	16619
1227	2205	16620
1228	2206	16616
1229	2208	16613
1230	2209	16610
1231	2211	16609
1232	2213	16607
1233	2215	16604
1234	2216	16601
1235	2218	16598
1236	2220	16596
1237	2221	16593
1238	2223	16591
1239	2225	16594
1240	2227	16593
1241	2229	16592
1242	2231	16593
1243	2233	16592
1244	2235	16590
1245	2237	16586
1246	2238	16583
1247	2240	16580
1248	2242	16579
1249	2244	16582
1250	2246	16581
1251	2248	16581
1252	2250	16581
1253	2252	16580
1254	2254	16580
1255	2256	16576
1256	2257	16573
1257	2259	16569
1258	2260	16566
1259	2262	16565
1260	2264	16564
